CustomerID,Age,Age_Scaled,Gender_Encoded,MS_Divorced,MS_Married,MS_Single,MS_Widowed,IncomeLevel_Ordinal,AG_18–29,AG_30–44,AG_45–59,AG_60–69
1,62,1.2296280895906782,0,0,0,1,0,0,0,0,0,1
2,65,1.4265471238495815,0,0,1,0,0,0,0,0,0,1
3,18,-1.6585177462065699,0,0,0,1,0,0,1,0,0,0
4,21,-1.4615987119476666,0,0,0,0,1,0,1,0,0,0
5,21,-1.4615987119476666,0,1,0,0,0,1,1,0,0,0
6,57,0.9014296991591727,1,1,0,0,0,1,0,0,1,0
7,27,-1.06776064342986,1,0,1,0,0,2,1,0,0,0
8,37,-0.41136386256684915,0,0,0,1,0,0,0,1,0,0
9,39,-0.280084506394247,0,1,0,0,0,2,0,1,0,0
10,68,1.6234661581084848,0,0,1,0,0,2,0,0,0,1
11,54,0.7045106649002695,0,1,0,0,0,1,0,0,1,0
12,41,-0.14880515022164478,1,0,1,0,0,0,0,1,0,0
13,24,-1.2646796776887634,1,1,0,0,0,0,1,0,0,0
14,42,-0.08316547213534368,0,0,0,0,1,1,0,1,0,0
15,42,-0.08316547213534368,0,1,0,0,0,1,0,1,0,0
16,30,-0.8708416091709568,1,0,0,1,0,1,0,1,0,0
17,19,-1.5928780681202688,0,0,1,0,0,0,1,0,0,0
18,56,0.8357900210728716,1,0,1,0,0,2,0,0,1,0
19,57,0.9014296991591727,1,1,0,0,0,2,0,0,1,0
20,41,-0.14880515022164478,0,0,0,1,0,0,0,1,0,0
21,64,1.3609074457632804,0,1,0,0,0,2,0,0,0,1
22,42,-0.08316547213534368,1,1,0,0,0,0,0,1,0,0
23,35,-0.5426432187394513,1,1,0,0,0,0,0,1,0,0
24,55,0.7701503429865705,0,0,0,0,1,1,0,0,1,0
25,43,-0.01752579404904259,1,0,1,0,0,0,0,1,0,0
26,31,-0.8052019310846557,0,0,0,1,0,1,0,1,0,0
27,26,-1.1334003215161612,0,0,0,0,1,1,1,0,0,0
28,27,-1.06776064342986,1,0,0,0,1,2,1,0,0,0
29,38,-0.34572418448054804,1,1,0,0,0,1,0,1,0,0
30,69,1.689105836194786,0,1,0,0,0,2,0,0,0,1
31,34,-0.6082828968257524,0,1,0,0,0,0,0,1,0,0
32,69,1.689105836194786,1,0,1,0,0,2,0,0,0,1
33,23,-1.3303193557750645,0,1,0,0,0,2,1,0,0,0
34,33,-0.6739225749120535,0,0,0,0,1,2,0,1,0,0
35,65,1.4265471238495815,0,0,1,0,0,0,0,0,0,1
36,18,-1.6585177462065699,1,0,0,0,1,0,1,0,0,0
37,36,-0.47700354065315026,1,0,1,0,0,1,0,1,0,0
38,53,0.6388709868139684,1,0,1,0,0,0,0,0,1,0
39,42,-0.08316547213534368,0,0,1,0,0,1,0,1,0,0
40,67,1.5578264800221837,1,0,0,0,1,0,0,0,0,1
41,69,1.689105836194786,1,0,1,0,0,2,0,0,0,1
42,47,0.24503291829616178,0,0,0,0,1,1,0,0,1,0
43,37,-0.41136386256684915,0,0,0,1,0,0,0,1,0,0
44,37,-0.41136386256684915,1,0,0,0,1,0,0,1,0,0
45,32,-0.7395622529983547,1,0,0,0,1,0,0,1,0,0
46,57,0.9014296991591727,1,0,1,0,0,2,0,0,1,0
47,50,0.4419519525550651,1,0,1,0,0,1,0,0,1,0
48,19,-1.5928780681202688,0,1,0,0,0,1,1,0,0,0
49,27,-1.06776064342986,1,0,0,1,0,1,1,0,0,0
50,50,0.4419519525550651,1,0,0,1,0,0,0,0,1,0
51,49,0.376312274468764,0,1,0,0,0,1,0,0,1,0
52,28,-1.002120965343559,0,0,0,0,1,1,1,0,0,0
53,41,-0.14880515022164478,1,0,0,0,1,0,0,1,0,0
54,53,0.6388709868139684,1,0,1,0,0,0,0,0,1,0
55,29,-0.9364812872572579,1,0,0,1,0,0,1,0,0,0
56,68,1.6234661581084848,1,0,1,0,0,0,0,0,0,1
57,46,0.1793932402098607,1,1,0,0,0,2,0,0,1,0
58,52,0.5732313087276673,0,0,0,1,0,2,0,0,1,0
59,18,-1.6585177462065699,0,0,1,0,0,1,1,0,0,0
60,18,-1.6585177462065699,1,0,0,1,0,2,1,0,0,0
61,54,0.7045106649002695,0,0,0,1,0,0,0,0,1,0
62,23,-1.3303193557750645,1,0,1,0,0,2,1,0,0,0
63,56,0.8357900210728716,0,0,1,0,0,0,0,0,1,0
64,58,0.9670693772454738,1,0,0,1,0,2,0,0,1,0
65,35,-0.5426432187394513,1,1,0,0,0,0,0,1,0,0
66,33,-0.6739225749120535,0,0,0,0,1,1,0,1,0,0
67,22,-1.3959590338613654,1,0,0,1,0,1,1,0,0,0
68,59,1.0327090553317748,1,1,0,0,0,2,0,0,1,0
69,60,1.098348733418076,1,0,0,1,0,0,0,0,0,1
70,49,0.376312274468764,1,0,1,0,0,1,0,0,1,0
71,19,-1.5928780681202688,1,1,0,0,0,0,1,0,0,0
72,19,-1.5928780681202688,1,1,0,0,0,2,1,0,0,0
73,57,0.9014296991591727,0,0,0,1,0,0,0,0,1,0
74,59,1.0327090553317748,0,0,0,0,1,0,0,0,1,0
75,53,0.6388709868139684,1,0,0,1,0,2,0,0,1,0
76,56,0.8357900210728716,1,0,0,0,1,1,0,0,1,0
77,29,-0.9364812872572579,0,1,0,0,0,2,1,0,0,0
78,64,1.3609074457632804,0,0,0,0,1,0,0,0,0,1
79,36,-0.47700354065315026,0,0,1,0,0,2,0,1,0,0
80,45,0.1137535621235596,0,0,0,0,1,2,0,0,1,0
